beta channel, neutron ToF, beta_time (s)
2, 158.877, 12.4526
2, 229.732, 12.4589
3, 119.107, 12.4669
2, 219.716, 12.4773
2, 174.578, 12.4807
2, 182.753, 12.4807
3, 227.933, 12.4807
3, 161.484, 12.4827
3, 103.542, 12.4894
3, 186.139, 12.4924
3, 119.266, 12.4972
3, 195.017, 12.5002
3, 185.107, 12.5002
3, 230.662, 12.5024
3, 263.595, 12.5024
3, 118.287, 12.5035
3, 102.412, 12.5036
3, 213.741, 12.5038
2, 174.713, 12.5065
3, 191.320, 12.5075
2, 119.358, 12.5122
2, 116.929, 12.5163
2, 239.716, 12.5167
3, 161.995, 12.5175
3, 165.027, 12.5175
3, 318.509, 12.5209
2, 615.407, 12.5318
3, 615.407, 12.5318
2, 317.754, 12.5347
3, 178.583, 12.5404
2, 390.140,  12.546
2, 395.278,  12.546
3, 390.140,  12.546
3, 395.278,  12.546
2, 186.596, 12.5601
2, 185.780, 12.5602
3, 212.493, 12.5645
2, 211.437, 12.5666
2, -277.603, 12.5666
3, 211.437, 12.5666
3, -277.603, 12.5666
2, 246.397, 12.5854
2, 169.159, 12.5854
3, 165.091, 12.5916
